2026-05-02 13:32:47 | INFO | nemweb_pipeline | Extracted ZIP file PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418140000_0000000513533099.zip with 1 members
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Downloaded file: PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418143000_0000000513536463.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Extracted ZIP file PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418143000_0000000513536463.zip with 1 members
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Downloaded file: PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418150000_0000000513539782.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Extracted ZIP file PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418150000_0000000513539782.zip with 1 members
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Downloaded file: PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418153000_0000000513543234.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Extracted ZIP file PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418153000_0000000513543234.zip with 1 members
2026-05-02 13:32:48 | INFO | nemweb_pipeline | Downloaded file: PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418160000_0000000513546723.zip
2026-05-02 13:32:48 | INFO | nemweb_pipeline | Extracted ZIP file PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418160000_0000000513546723.zip with 1 members
2026-05-02 13:32:48 | INFO | nemweb_pipeline | Downloaded file: PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418163000_0000000513550217.zip
2026-05-02 13:32:48 | INFO | nemweb_pipeline | Extracted ZIP file PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418163000_0000000513550217.zip with 1 members
